Red,Green,Blue,RedRatio,GreenRatio,BlueRatio,Class
6,11,10,0.222,0.407,0.370,0
6,11,10,0.222,0.407,0.370,0
6,11,10,0.222,0.407,0.370,0
6,10,9,0.240,0.400,0.360,0
5,10,9,0.208,0.417,0.375,0
6,11,10,0.222,0.407,0.370,0
6,10,9,0.240,0.400,0.360,0
7,11,10,0.250,0.393,0.357,0
8,12,10,0.267,0.400,0.333,0
9,11,9,0.310,0.379,0.310,0
11,13,10,0.324,0.382,0.294,0
14,14,11,0.359,0.359,0.282,0
18,18,14,0.360,0.360,0.280,0
22,21,16,0.373,0.356,0.271,0
24,24,18,0.364,0.364,0.273,0
26,25,18,0.377,0.362,0.261,0
27,26,19,0.375,0.361,0.264,0
29,26,19,0.392,0.351,0.257,0
31,28,19,0.397,0.359,0.244,0
33,29,20,0.402,0.354,0.244,0
35,31,21,0.402,0.356,0.241,0
38,33,22,0.409,0.355,0.237,0
41,36,24,0.406,0.356,0.238,0
43,38,25,0.406,0.358,0.236,0
45,40,26,0.405,0.360,0.234,0
46,42,27,0.400,0.365,0.235,0
48,44,29,0.397,0.364,0.240,0
49,46,30,0.392,0.368,0.240,0
51,48,32,0.389,0.366,0.244,0
53,51,34,0.384,0.370,0.246,0
53,52,34,0.381,0.374,0.245,0
53,51,34,0.384,0.370,0.246,0
51,51,34,0.375,0.375,0.250,0
49,49,33,0.374,0.374,0.252,0
45,46,32,0.366,0.374,0.260,0
41,44,31,0.353,0.379,0.267,0
38,41,30,0.349,0.376,0.275,0
35,40,29,0.337,0.385,0.279,0
33,38,28,0.333,0.384,0.283,0
31,36,27,0.330,0.383,0.287,0
29,35,26,0.322,0.389,0.289,0
26,32,24,0.317,0.390,0.293,0
23,29,23,0.307,0.387,0.307,0
21,26,22,0.304,0.377,0.319,0
20,25,21,0.303,0.379,0.318,0
20,25,21,0.303,0.379,0.318,0
21,25,21,0.313,0.373,0.313,0
21,25,22,0.309,0.368,0.324,0
22,26,22,0.314,0.371,0.314,0
23,26,23,0.319,0.361,0.319,0
23,26,23,0.319,0.361,0.319,0
22,26,23,0.310,0.366,0.324,0
22,25,23,0.314,0.357,0.329,0
22,25,23,0.314,0.357,0.329,0
22,25,23,0.314,0.357,0.329,0
21,25,22,0.309,0.368,0.324,0
21,24,20,0.323,0.369,0.308,0
23,24,18,0.354,0.369,0.277,0
26,26,18,0.371,0.371,0.257,0
31,29,20,0.387,0.363,0.250,0
36,33,23,0.391,0.359,0.250,0
39,36,24,0.394,0.364,0.242,0
42,39,26,0.393,0.364,0.243,0
43,41,27,0.387,0.369,0.243,0
43,41,27,0.387,0.369,0.243,0
42,41,27,0.382,0.373,0.245,0
41,41,27,0.376,0.376,0.248,0
40,39,26,0.381,0.371,0.248,0
38,36,25,0.384,0.364,0.253,0
37,33,24,0.394,0.351,0.255,0
36,31,23,0.400,0.344,0.256,0
35,29,22,0.407,0.337,0.256,0
34,27,21,0.415,0.329,0.256,0
34,26,21,0.420,0.321,0.259,0
33,25,20,0.423,0.321,0.256,0
32,24,20,0.421,0.316,0.263,0
32,24,20,0.421,0.316,0.263,0
31,25,20,0.408,0.329,0.263,0
32,26,21,0.405,0.329,0.266,0
31,27,21,0.392,0.342,0.266,0
31,27,21,0.392,0.342,0.266,0
30,27,21,0.385,0.346,0.269,0
29,27,21,0.377,0.351,0.273,0
28,27,20,0.373,0.360,0.267,0
27,27,20,0.365,0.365,0.270,0
26,26,19,0.366,0.366,0.268,0
26,26,19,0.366,0.366,0.268,0
25,25,19,0.362,0.362,0.275,0
25,25,19,0.362,0.362,0.275,0
25,25,19,0.362,0.362,0.275,0
25,25,18,0.368,0.368,0.265,0
25,24,18,0.373,0.358,0.269,0
25,24,18,0.373,0.358,0.269,0
25,24,18,0.373,0.358,0.269,0
26,24,18,0.382,0.353,0.265,0
27,25,18,0.386,0.357,0.257,0
28,26,19,0.384,0.356,0.260,0
29,27,19,0.387,0.360,0.253,0
30,28,20,0.385,0.359,0.256,0
31,29,21,0.383,0.358,0.259,0
33,30,22,0.388,0.353,0.259,0
34,32,23,0.382,0.360,0.258,0
34,33,24,0.374,0.363,0.264,0
35,34,24,0.376,0.366,0.258,0
35,34,24,0.376,0.366,0.258,0
34,34,24,0.370,0.370,0.261,0
35,34,24,0.376,0.366,0.258,0
35,34,24,0.376,0.366,0.258,0
35,35,24,0.372,0.372,0.255,0
35,35,25,0.368,0.368,0.263,0
36,35,25,0.375,0.365,0.260,0
37,36,26,0.374,0.364,0.263,0
38,37,26,0.376,0.366,0.257,0
39,37,27,0.379,0.359,0.262,0
40,38,28,0.377,0.358,0.264,0
41,40,29,0.373,0.364,0.264,0
43,42,31,0.371,0.362,0.267,0
46,45,33,0.371,0.363,0.266,0
49,48,35,0.371,0.364,0.265,0
53,52,38,0.371,0.364,0.266,0
55,55,40,0.367,0.367,0.267,0
57,57,41,0.368,0.368,0.265,0
58,59,43,0.363,0.369,0.269,0
61,63,45,0.361,0.373,0.266,0
63,65,48,0.358,0.369,0.273,0
66,69,51,0.355,0.371,0.274,0
68,72,54,0.351,0.371,0.278,0
69,74,55,0.348,0.374,0.278,0
70,75,57,0.347,0.371,0.282,0
70,76,58,0.343,0.373,0.284,0
69,76,58,0.340,0.374,0.286,0
69,76,58,0.340,0.374,0.286,0
68,74,57,0.342,0.372,0.286,0
66,73,56,0.338,0.374,0.287,0
65,72,55,0.339,0.375,0.286,0
63,70,54,0.337,0.374,0.289,0
61,67,52,0.339,0.372,0.289,0
58,65,50,0.335,0.376,0.289,0
57,62,47,0.343,0.373,0.283,0
55,61,46,0.340,0.377,0.284,0
52,58,44,0.338,0.377,0.286,0
50,56,42,0.338,0.378,0.284,0
48,53,41,0.338,0.373,0.289,0
46,51,39,0.338,0.375,0.287,0
44,48,38,0.338,0.369,0.292,0
42,46,36,0.339,0.371,0.290,0
40,43,33,0.345,0.371,0.284,0
38,41,31,0.345,0.373,0.282,0
35,39,30,0.337,0.375,0.288,0
33,36,28,0.340,0.371,0.289,0
32,35,27,0.340,0.372,0.287,0
29,32,25,0.337,0.372,0.291,0
28,31,24,0.337,0.373,0.289,0
27,30,24,0.333,0.370,0.296,0
26,29,23,0.333,0.372,0.295,0
26,29,22,0.338,0.377,0.286,0
27,30,24,0.333,0.370,0.296,0
30,34,26,0.333,0.378,0.289,0
30,34,26,0.333,0.378,0.289,0
29,33,25,0.333,0.379,0.287,0
29,33,25,0.333,0.379,0.287,0
28,31,24,0.337,0.373,0.289,0
28,31,24,0.337,0.373,0.289,0
27,30,22,0.342,0.380,0.278,0
26,29,22,0.338,0.377,0.286,0
25,27,20,0.347,0.375,0.278,0
24,26,20,0.343,0.371,0.286,0
23,25,19,0.343,0.373,0.284,0
22,24,18,0.344,0.375,0.281,0
22,23,17,0.355,0.371,0.274,0
22,23,17,0.355,0.371,0.274,0
21,22,16,0.356,0.373,0.271,0
21,22,16,0.356,0.373,0.271,0
21,22,16,0.356,0.373,0.271,0
22,23,16,0.361,0.377,0.262,0
22,23,16,0.361,0.377,0.262,0
23,23,17,0.365,0.365,0.270,0
22,23,17,0.355,0.371,0.274,0
22,23,17,0.355,0.371,0.274,0
22,23,17,0.355,0.371,0.274,0
23,24,18,0.354,0.369,0.277,0
25,25,19,0.362,0.362,0.275,0
26,27,19,0.361,0.375,0.264,0
27,28,20,0.360,0.373,0.267,0
27,29,21,0.351,0.377,0.273,0
27,30,22,0.342,0.380,0.278,0
28,30,23,0.346,0.370,0.284,0
28,31,24,0.337,0.373,0.289,0
28,31,24,0.337,0.373,0.289,0
28,31,24,0.337,0.373,0.289,0
28,31,24,0.337,0.373,0.289,0
29,32,25,0.337,0.372,0.291,0
28,32,24,0.333,0.381,0.286,0
28,31,24,0.337,0.373,0.289,0
27,30,23,0.338,0.375,0.287,0
27,30,23,0.338,0.375,0.287,0
27,30,23,0.338,0.375,0.287,0
26,29,22,0.338,0.377,0.286,0
25,28,21,0.338,0.378,0.284,0
22,25,19,0.333,0.379,0.288,0
22,25,19,0.333,0.379,0.288,0
22,25,19,0.333,0.379,0.288,0
22,25,19,0.333,0.379,0.288,0
22,25,19,0.333,0.379,0.288,0
23,26,19,0.338,0.382,0.279,0
23,26,19,0.338,0.382,0.279,0
23,25,19,0.343,0.373,0.284,0
23,25,19,0.343,0.373,0.284,0
22,25,19,0.333,0.379,0.288,0
22,25,19,0.333,0.379,0.288,0
23,25,19,0.343,0.373,0.284,0
23,26,19,0.338,0.382,0.279,0
24,26,20,0.343,0.371,0.286,0
23,25,19,0.343,0.373,0.284,0
22,24,18,0.344,0.375,0.281,0
21,22,16,0.356,0.373,0.271,0
20,20,14,0.370,0.370,0.259,0
19,18,13,0.380,0.360,0.260,0
18,16,11,0.400,0.356,0.244,0
16,14,9,0.410,0.359,0.231,0
14,12,8,0.412,0.353,0.235,0
13,11,7,0.419,0.355,0.226,0
13,10,6,0.448,0.345,0.207,0
12,10,6,0.429,0.357,0.214,0
12,10,6,0.429,0.357,0.214,0
12,9,6,0.444,0.333,0.222,0
11,9,6,0.423,0.346,0.231,0
11,9,6,0.423,0.346,0.231,0
11,9,6,0.423,0.346,0.231,0
11,9,6,0.423,0.346,0.231,0
11,9,6,0.423,0.346,0.231,0
11,11,8,0.367,0.367,0.267,0
13,13,11,0.351,0.351,0.297,0
16,16,15,0.340,0.340,0.319,0
19,18,18,0.345,0.327,0.327,0
20,18,19,0.351,0.316,0.333,0
20,17,19,0.357,0.304,0.339,0
19,16,18,0.358,0.302,0.340,0
17,15,16,0.354,0.312,0.333,0
16,13,14,0.372,0.302,0.326,0
15,12,13,0.375,0.300,0.325,0
14,10,11,0.400,0.286,0.314,0
12,8,9,0.414,0.276,0.310,0
11,7,8,0.423,0.269,0.308,0
10,7,7,0.417,0.292,0.292,0
10,8,7,0.400,0.320,0.280,0
9,8,7,0.375,0.333,0.292,0
9,8,7,0.375,0.333,0.292,0
8,9,7,0.333,0.375,0.292,0
9,9,7,0.360,0.360,0.280,0
11,11,8,0.367,0.367,0.267,0
11,11,8,0.367,0.367,0.267,0
11,11,8,0.367,0.367,0.267,0
11,10,7,0.393,0.357,0.250,0
10,9,7,0.385,0.346,0.269,0
9,8,6,0.391,0.348,0.261,0
8,7,5,0.400,0.350,0.250,0
6,6,4,0.375,0.375,0.250,0
5,4,3,0.417,0.333,0.250,0
5,5,3,0.385,0.385,0.231,0
5,5,4,0.357,0.357,0.286,0
7,6,5,0.389,0.333,0.278,0
8,8,6,0.364,0.364,0.273,0
10,9,7,0.385,0.346,0.269,0
11,10,7,0.393,0.357,0.250,0
11,10,7,0.393,0.357,0.250,0
9,8,6,0.391,0.348,0.261,0
7,5,4,0.437,0.312,0.250,0
8,4,3,0.533,0.267,0.200,0
8,5,4,0.471,0.294,0.235,0
8,6,4,0.444,0.333,0.222,0
9,6,5,0.450,0.300,0.250,0
10,7,6,0.435,0.304,0.261,0
10,8,7,0.400,0.320,0.280,0
11,9,7,0.407,0.333,0.259,0
11,10,7,0.393,0.357,0.250,0
11,10,8,0.379,0.345,0.276,0
11,10,8,0.379,0.345,0.276,0
12,11,8,0.387,0.355,0.258,0
12,12,9,0.364,0.364,0.273,0
13,13,9,0.371,0.371,0.257,0
15,15,11,0.366,0.366,0.268,0
17,18,13,0.354,0.375,0.271,0
18,20,16,0.333,0.370,0.296,0
20,23,18,0.328,0.377,0.295,0
22,25,20,0.328,0.373,0.299,0
24,28,22,0.324,0.378,0.297,0
26,31,24,0.321,0.383,0.296,0
29,33,25,0.333,0.379,0.287,0
32,35,26,0.344,0.376,0.280,0
36,37,27,0.360,0.370,0.270,0
37,37,27,0.366,0.366,0.267,0
36,34,25,0.379,0.358,0.263,0
33,31,22,0.384,0.360,0.256,0
31,29,21,0.383,0.358,0.259,0
28,26,19,0.384,0.356,0.260,0
25,24,17,0.379,0.364,0.258,0
23,22,16,0.377,0.361,0.262,0
21,20,14,0.382,0.364,0.255,0
21,18,14,0.396,0.340,0.264,0
21,17,13,0.412,0.333,0.255,0
20,16,13,0.408,0.327,0.265,0
20,15,12,0.426,0.319,0.255,0
19,14,12,0.422,0.311,0.267,0
20,15,12,0.426,0.319,0.255,0
19,15,12,0.413,0.326,0.261,0
20,15,12,0.426,0.319,0.255,0
21,17,14,0.404,0.327,0.269,0
23,20,16,0.390,0.339,0.271,0
25,24,18,0.373,0.358,0.269,0
28,28,21,0.364,0.364,0.273,0
32,32,24,0.364,0.364,0.273,0
35,35,26,0.365,0.365,0.271,0
37,38,28,0.359,0.369,0.272,0
39,39,29,0.364,0.364,0.271,0
40,40,29,0.367,0.367,0.266,0
41,41,30,0.366,0.366,0.268,0
41,41,30,0.366,0.366,0.268,0
41,42,30,0.363,0.372,0.265,0
41,42,30,0.363,0.372,0.265,0
41,42,31,0.360,0.368,0.272,0
40,41,30,0.360,0.369,0.270,0
41,42,31,0.360,0.368,0.272,0
39,39,29,0.364,0.364,0.271,0
38,38,29,0.362,0.362,0.276,0
36,37,28,0.356,0.366,0.277,0
37,37,29,0.359,0.359,0.282,0
43,42,32,0.368,0.359,0.274,0
50,48,36,0.373,0.358,0.269,0
60,57,42,0.377,0.358,0.264,0
70,64,47,0.387,0.354,0.260,0
76,68,50,0.392,0.351,0.258,0
79,71,52,0.391,0.351,0.257,0
83,75,54,0.392,0.354,0.255,0
85,78,56,0.388,0.356,0.256,0
88,81,58,0.388,0.357,0.256,0
89,83,58,0.387,0.361,0.252,0
93,87,60,0.387,0.363,0.250,0
92,86,60,0.387,0.361,0.252,0
91,85,59,0.387,0.362,0.251,0
87,82,57,0.385,0.363,0.252,0
84,80,56,0.382,0.364,0.255,0
80,77,54,0.379,0.365,0.256,0
74,72,50,0.378,0.367,0.255,0
69,67,47,0.377,0.366,0.257,0
60,59,40,0.377,0.371,0.252,0
53,50,34,0.387,0.365,0.248,0
44,42,28,0.386,0.368,0.246,0
45,42,28,0.391,0.365,0.243,0
44,41,27,0.393,0.366,0.241,0
49,45,30,0.395,0.363,0.242,0
53,49,33,0.393,0.363,0.244,0
57,54,36,0.388,0.367,0.245,0
62,58,39,0.390,0.365,0.245,0
65,61,41,0.389,0.365,0.246,0
71,67,44,0.390,0.368,0.242,0
76,72,48,0.388,0.367,0.245,0
80,76,51,0.386,0.367,0.246,0
82,79,53,0.383,0.369,0.248,0
81,80,53,0.379,0.374,0.248,0
79,78,51,0.380,0.375,0.245,0
76,76,50,0.376,0.376,0.248,0
71,71,47,0.376,0.376,0.249,0
67,68,44,0.374,0.380,0.246,0
62,63,41,0.373,0.380,0.247,0
59,61,39,0.371,0.384,0.245,0
55,58,36,0.369,0.389,0.242,0
52,55,34,0.369,0.390,0.241,0
47,50,30,0.370,0.394,0.236,0
43,46,28,0.368,0.393,0.239,0
41,44,26,0.369,0.396,0.234,0
39,42,25,0.368,0.396,0.236,0
37,39,24,0.370,0.390,0.240,0
36,39,23,0.367,0.398,0.235,0
33,36,21,0.367,0.400,0.233,0
32,34,21,0.368,0.391,0.241,0
31,33,20,0.369,0.393,0.238,0
33,35,21,0.371,0.393,0.236,0
34,35,22,0.374,0.385,0.242,0
33,35,22,0.367,0.389,0.244,0
34,35,22,0.374,0.385,0.242,0
35,35,23,0.376,0.376,0.247,0
35,36,23,0.372,0.383,0.245,0
37,39,25,0.366,0.386,0.248,0
40,42,27,0.367,0.385,0.248,0
44,47,29,0.367,0.392,0.242,0
49,53,33,0.363,0.393,0.244,0
59,63,40,0.364,0.389,0.247,0
66,69,44,0.369,0.385,0.246,0
71,72,47,0.374,0.379,0.247,0
74,74,47,0.379,0.379,0.241,0
75,74,47,0.383,0.378,0.240,0
75,73,46,0.387,0.376,0.237,0
74,71,45,0.389,0.374,0.237,0
72,68,43,0.393,0.372,0.235,0
69,64,40,0.399,0.370,0.231,0
65,60,37,0.401,0.370,0.228,0
61,55,34,0.407,0.367,0.227,0
56,50,31,0.409,0.365,0.226,0
52,46,28,0.413,0.365,0.222,0
47,41,26,0.412,0.360,0.228,0
43,41,27,0.387,0.369,0.243,0
44,47,32,0.358,0.382,0.260,0
47,52,36,0.348,0.385,0.267,0
49,57,39,0.338,0.393,0.269,0
48,55,37,0.343,0.393,0.264,0
49,57,38,0.340,0.396,0.264,0
48,55,36,0.345,0.396,0.259,0
49,55,36,0.350,0.393,0.257,0
48,53,35,0.353,0.390,0.257,0
46,51,33,0.354,0.392,0.254,0
44,47,30,0.364,0.388,0.248,0
43,46,29,0.364,0.390,0.246,0
46,49,31,0.365,0.389,0.246,0
47,49,31,0.370,0.386,0.244,0
46,48,30,0.371,0.387,0.242,0
47,50,31,0.367,0.391,0.242,0
47,50,31,0.367,0.391,0.242,0
44,48,29,0.364,0.397,0.240,0
40,44,27,0.360,0.396,0.243,0
31,36,22,0.348,0.404,0.247,0
24,29,17,0.343,0.414,0.243,0
18,21,13,0.346,0.404,0.250,0
15,16,10,0.366,0.390,0.244,0
13,11,7,0.419,0.355,0.226,0
12,9,6,0.444,0.333,0.222,0
12,9,6,0.444,0.333,0.222,0
12,10,7,0.414,0.345,0.241,0
10,8,6,0.417,0.333,0.250,0
9,7,5,0.429,0.333,0.238,0
8,6,4,0.444,0.333,0.222,0
8,7,4,0.421,0.368,0.211,0
8,7,4,0.421,0.368,0.211,0
9,8,5,0.409,0.364,0.227,0
10,9,5,0.417,0.375,0.208,0
11,10,5,0.423,0.385,0.192,0
13,11,6,0.433,0.367,0.200,0
15,12,7,0.441,0.353,0.206,0
17,14,9,0.425,0.350,0.225,0
20,19,12,0.392,0.373,0.235,0
28,30,19,0.364,0.390,0.247,0
32,35,22,0.360,0.393,0.247,0
40,44,28,0.357,0.393,0.250,0
46,50,31,0.362,0.394,0.244,0
48,51,32,0.366,0.389,0.244,0
47,51,31,0.364,0.395,0.240,0
46,50,30,0.365,0.397,0.238,0
41,47,29,0.350,0.402,0.248,0
31,36,23,0.344,0.400,0.256,0
24,26,17,0.358,0.388,0.254,0
22,21,14,0.386,0.368,0.246,0
22,20,13,0.400,0.364,0.236,0
21,18,12,0.412,0.353,0.235,0
21,18,11,0.420,0.360,0.220,0
23,18,12,0.434,0.340,0.226,0
26,20,13,0.441,0.339,0.220,0
30,23,15,0.441,0.338,0.221,0
34,27,18,0.430,0.342,0.228,0
38,31,21,0.422,0.344,0.233,0
41,34,23,0.418,0.347,0.235,0
43,37,25,0.410,0.352,0.238,0
45,41,27,0.398,0.363,0.239,0
46,43,28,0.393,0.368,0.239,0
46,44,28,0.390,0.373,0.237,0
46,45,29,0.383,0.375,0.242,0
47,47,30,0.379,0.379,0.242,0
49,49,32,0.377,0.377,0.246,0
49,49,32,0.377,0.377,0.246,0
49,50,32,0.374,0.382,0.244,0
50,51,33,0.373,0.381,0.246,0
50,52,33,0.370,0.385,0.244,0
49,51,32,0.371,0.386,0.242,0
47,49,30,0.373,0.389,0.238,0
44,44,28,0.379,0.379,0.241,0
44,42,28,0.386,0.368,0.246,0
42,38,26,0.396,0.358,0.245,0
39,34,24,0.402,0.351,0.247,0
35,30,21,0.407,0.349,0.244,0
28,24,16,0.412,0.353,0.235,0
24,20,14,0.414,0.345,0.241,0
18,16,11,0.400,0.356,0.244,0
17,16,10,0.395,0.372,0.233,0
19,17,11,0.404,0.362,0.234,0
21,18,13,0.404,0.346,0.250,0
31,26,18,0.413,0.347,0.240,0
46,40,28,0.404,0.351,0.246,0
56,50,34,0.400,0.357,0.243,0
62,58,39,0.390,0.365,0.245,0
65,62,41,0.387,0.369,0.244,0
68,65,44,0.384,0.367,0.249,0
70,68,45,0.383,0.372,0.246,0
71,70,46,0.380,0.374,0.246,0
69,70,45,0.375,0.380,0.245,0
64,66,42,0.372,0.384,0.244,0
58,60,37,0.374,0.387,0.239,0
50,51,32,0.376,0.383,0.241,0
43,43,27,0.381,0.381,0.239,0
37,37,24,0.378,0.378,0.245,0
33,32,21,0.384,0.372,0.244,0
34,32,22,0.386,0.364,0.250,0
41,37,27,0.390,0.352,0.257,0
56,50,36,0.394,0.352,0.254,0
69,63,45,0.390,0.356,0.254,0
77,73,51,0.383,0.363,0.254,0
78,78,53,0.373,0.373,0.254,0
83,86,57,0.367,0.381,0.252,0
86,90,60,0.364,0.381,0.254,0
89,93,61,0.366,0.383,0.251,0
87,92,60,0.364,0.385,0.251,0
89,93,62,0.365,0.381,0.254,0
89,94,63,0.362,0.382,0.256,0
89,94,64,0.360,0.381,0.259,0
86,92,63,0.357,0.382,0.261,0
80,86,59,0.356,0.382,0.262,0
74,79,56,0.354,0.378,0.268,0
63,67,47,0.356,0.379,0.266,0
54,59,40,0.353,0.386,0.261,0
45,49,34,0.352,0.383,0.266,0
37,39,28,0.356,0.375,0.269,0
35,38,27,0.350,0.380,0.270,0
32,35,25,0.348,0.380,0.272,0
29,31,22,0.354,0.378,0.268,0
28,30,22,0.350,0.375,0.275,0
26,27,20,0.356,0.370,0.274,0
26,28,20,0.351,0.378,0.270,0
25,27,20,0.347,0.375,0.278,0
24,26,18,0.353,0.382,0.265,0
24,26,18,0.353,0.382,0.265,0
23,24,17,0.359,0.375,0.266,0
23,24,17,0.359,0.375,0.266,0
24,25,18,0.358,0.373,0.269,0
24,24,17,0.369,0.369,0.262,0
23,23,16,0.371,0.371,0.258,0
25,24,17,0.379,0.364,0.258,0
24,24,17,0.369,0.369,0.262,0
25,24,17,0.379,0.364,0.258,0
26,24,17,0.388,0.358,0.254,0
27,26,18,0.380,0.366,0.254,0
29,27,19,0.387,0.360,0.253,0
29,27,19,0.387,0.360,0.253,0
29,27,19,0.387,0.360,0.253,0
33,31,22,0.384,0.360,0.256,0
38,35,24,0.392,0.361,0.247,0
46,42,29,0.393,0.359,0.248,0
54,50,34,0.391,0.362,0.246,0
60,55,38,0.392,0.359,0.248,0
67,62,42,0.392,0.363,0.246,0
74,67,46,0.396,0.358,0.246,0
81,72,50,0.399,0.355,0.246,0
87,77,54,0.399,0.353,0.248,0
88,79,55,0.396,0.356,0.248,0
89,80,56,0.396,0.356,0.249,0
86,78,55,0.393,0.356,0.251,0
80,73,52,0.390,0.356,0.254,0
74,68,50,0.385,0.354,0.260,0
70,65,48,0.383,0.355,0.262,0
71,67,50,0.378,0.356,0.266,0
68,65,50,0.372,0.355,0.273,0
64,62,48,0.368,0.356,0.276,0
58,58,45,0.360,0.360,0.280,0
50,51,40,0.355,0.362,0.284,0
41,42,34,0.350,0.359,0.291,0
35,37,30,0.343,0.363,0.294,0
31,33,27,0.341,0.363,0.297,0
27,30,24,0.333,0.370,0.296,0
25,28,22,0.333,0.373,0.293,0
22,25,20,0.328,0.373,0.299,0
21,25,19,0.323,0.385,0.292,0
20,24,18,0.323,0.387,0.290,0
19,23,17,0.322,0.390,0.288,0
17,21,17,0.309,0.382,0.309,0
16,20,15,0.314,0.392,0.294,0
16,19,15,0.320,0.380,0.300,0
16,21,15,0.308,0.404,0.288,0
16,21,15,0.308,0.404,0.288,0
16,21,15,0.308,0.404,0.288,0
16,22,15,0.302,0.415,0.283,0
16,21,15,0.308,0.404,0.288,0
16,20,14,0.320,0.400,0.280,0
16,19,13,0.333,0.396,0.271,0
15,17,12,0.341,0.386,0.273,0
16,17,12,0.356,0.378,0.267,0
15,17,12,0.341,0.386,0.273,0
15,16,11,0.357,0.381,0.262,0
15,16,11,0.357,0.381,0.262,0
15,15,11,0.366,0.366,0.268,0
15,15,10,0.375,0.375,0.250,0
15,15,11,0.366,0.366,0.268,0
15,15,11,0.366,0.366,0.268,0
16,17,12,0.356,0.378,0.267,0
17,19,14,0.340,0.380,0.280,0
18,22,17,0.316,0.386,0.298,0
19,24,20,0.302,0.381,0.317,0
20,26,23,0.290,0.377,0.333,0
20,27,25,0.278,0.375,0.347,0
20,26,25,0.282,0.366,0.352,0
19,23,23,0.292,0.354,0.354,0
18,20,18,0.321,0.357,0.321,0
16,15,11,0.381,0.357,0.262,0
15,13,9,0.405,0.351,0.243,0
14,12,8,0.412,0.353,0.235,0
14,12,8,0.412,0.353,0.235,0
14,12,8,0.412,0.353,0.235,0
14,13,9,0.389,0.361,0.250,0
14,14,10,0.368,0.368,0.263,0
14,14,10,0.368,0.368,0.263,0
15,15,11,0.366,0.366,0.268,0
15,16,12,0.349,0.372,0.279,0
16,16,14,0.348,0.348,0.304,0
17,17,16,0.340,0.340,0.320,0
18,20,19,0.316,0.351,0.333,0
20,22,22,0.312,0.344,0.344,0
21,26,26,0.288,0.356,0.356,0
21,24,25,0.300,0.343,0.357,0
20,21,22,0.317,0.333,0.349,0
19,17,19,0.345,0.309,0.345,0
18,14,15,0.383,0.298,0.319,0
18,12,13,0.419,0.279,0.302,0
17,12,12,0.415,0.293,0.293,0
18,13,13,0.409,0.295,0.295,0
20,15,14,0.408,0.306,0.286,0
23,19,17,0.390,0.322,0.288,0
25,23,20,0.368,0.338,0.294,0
27,26,22,0.360,0.347,0.293,0
30,31,25,0.349,0.360,0.291,0
31,33,26,0.344,0.367,0.289,0
33,35,27,0.347,0.368,0.284,0
35,38,28,0.347,0.376,0.277,0
35,38,28,0.347,0.376,0.277,0
34,37,27,0.347,0.378,0.276,0
32,35,26,0.344,0.376,0.280,0
27,30,22,0.342,0.380,0.278,0
24,26,20,0.343,0.371,0.286,0
21,23,17,0.344,0.377,0.279,0
21,21,15,0.368,0.368,0.263,0
20,20,14,0.370,0.370,0.259,0
19,18,13,0.380,0.360,0.260,0
19,17,12,0.396,0.354,0.250,0
19,17,12,0.396,0.354,0.250,0
18,17,11,0.391,0.370,0.239,0
18,17,11,0.391,0.370,0.239,0
18,17,11,0.391,0.370,0.239,0
19,19,13,0.373,0.373,0.255,0
19,20,13,0.365,0.385,0.250,0
20,21,14,0.364,0.382,0.255,0
21,23,16,0.350,0.383,0.267,0
22,24,17,0.349,0.381,0.270,0
22,24,17,0.349,0.381,0.270,0
21,23,16,0.350,0.383,0.267,0
22,24,17,0.349,0.381,0.270,0
21,23,16,0.350,0.383,0.267,0
20,21,14,0.364,0.382,0.255,0
18,19,13,0.360,0.380,0.260,0
17,17,11,0.378,0.378,0.244,0
16,16,10,0.381,0.381,0.238,0
16,16,10,0.381,0.381,0.238,0
16,15,10,0.390,0.366,0.244,0
16,15,9,0.400,0.375,0.225,0
15,14,9,0.395,0.368,0.237,0
15,13,8,0.417,0.361,0.222,0
14,13,8,0.400,0.371,0.229,0
14,13,8,0.400,0.371,0.229,0
14,13,8,0.400,0.371,0.229,0
14,13,8,0.400,0.371,0.229,0
14,12,8,0.412,0.353,0.235,0
13,12,8,0.394,0.364,0.242,0
13,12,8,0.394,0.364,0.242,0
13,12,8,0.394,0.364,0.242,0
13,11,8,0.406,0.344,0.250,0
13,11,8,0.406,0.344,0.250,0
12,11,7,0.400,0.367,0.233,0
12,11,7,0.400,0.367,0.233,0
12,10,7,0.414,0.345,0.241,0
11,10,7,0.393,0.357,0.250,0
11,10,7,0.393,0.357,0.250,0
12,11,8,0.387,0.355,0.258,0
12,11,8,0.387,0.355,0.258,0
12,11,8,0.387,0.355,0.258,0
12,11,8,0.387,0.355,0.258,0
12,11,7,0.400,0.367,0.233,0
11,10,7,0.393,0.357,0.250,0
9,8,6,0.391,0.348,0.261,0
8,7,5,0.400,0.350,0.250,0
8,7,5,0.400,0.350,0.250,0
8,8,5,0.381,0.381,0.238,0
8,8,6,0.364,0.364,0.273,0
7,7,5,0.368,0.368,0.263,0
6,6,5,0.353,0.353,0.294,0
5,5,4,0.357,0.357,0.286,0
6,6,4,0.375,0.375,0.250,0
7,6,5,0.389,0.333,0.278,0
7,6,5,0.389,0.333,0.278,0
7,6,5,0.389,0.333,0.278,0
7,6,5,0.389,0.333,0.278,0
7,6,5,0.389,0.333,0.278,0
8,6,5,0.421,0.316,0.263,0
9,6,6,0.429,0.286,0.286,0
10,7,7,0.417,0.292,0.292,0
